Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
78,Marquese Chriss\chrisma01,PF,19,PHO,59,1120,11.1,.501,.345,.265,6.4,14.4,10.3,5.2,2.1,2.6,12.4,19.8,,-0.1,0.9,0.8,.036,,-2.1,-0.3,-2.3,-0.1
79,Rakeem Christmas\chrisra01,PF,25,IND,10,73,16.3,.592,.000,.500,17.2,19.5,18.4,2.0,0.7,6.0,15.4,15.9,,0.1,0.1,0.2,.153,,-2.4,-0.3,-2.6,0.0
80,Semaj Christon\chrisse01,PG,24,OKC,42,614,5.4,.371,.268,.152,2.5,7.8,5.2,20.9,1.1,0.5,15.0,14.3,,-0.6,0.4,-0.2,-0.013,,-5.5,-2.0,-7.5,-0.8
81,Ian Clark\clarkia01,SG,25,GSW,54,762,13.7,.579,.416,.142,2.3,8.6,5.7,11.9,1.9,0.6,10.0,18.7,,0.9,0.9,1.8,.113,,0.1,-1.3,-1.2,0.1
82,Jordan Clarkson\clarkjo01,SG,24,LAL,60,1644,13.3,.525,.310,.155,2.5,9.3,5.7,12.9,2.2,0.3,12.7,23.3,,0.2,0.7,0.9,.025,,-0.7,-2.0,-2.7,-0.3
83,Darren Collison\collida01,PG,29,SAC,52,1606,15.2,.573,.270,.215,1.4,6.6,4.0,22.9,1.7,0.3,11.9,19.6,,2.5,0.7,3.2,.096,,0.9,-2.4,-1.5,0.2
84,Nick Collison\collini01,PF,36,OKC,14,81,9.6,.612,.000,.700,5.5,13.5,9.5,13.4,0.6,1.0,18.7,8.4,,0.1,0.1,0.2,.102,,-3.2,-0.5,-3.8,0.0
85,Mike Conley\conlemi01,PG,29,MEM,48,1570,22.2,.587,.406,.359,1.8,10.9,6.2,34.5,2.1,0.9,11.9,25.9,,4.6,1.9,6.4,.197,,5.6,-0.4,5.2,2.8
86,Pat Connaughton\connapa01,SG,24,POR,27,195,11.6,.605,.410,.231,5.0,12.7,8.8,10.8,1.0,0.8,12.3,11.0,,0.3,0.1,0.4,.094,,-0.9,-1.4,-2.3,0.0
87,Quinn Cook\cookqu01,G,23,DAL,1,17,-6.9,.200,.600,.000,0.0,14.4,6.9,17.0,0.0,0.0,28.6,19.5,,-0.1,0.0,-0.1,-0.302,,-13.2,-2.2,-15.3,-0.1
88,DeMarcus Cousins\couside01,C,26,TOT,58,1979,27.0,.565,.241,.497,7.2,29.2,18.2,28.0,2.1,3.6,13.2,37.2,,4.0,3.0,7.0,.171,,4.7,2.8,7.5,4.7
88,DeMarcus Cousins\couside01,C,26,SAC,55,1891,26.6,.562,.239,.491,7.1,28.9,18.0,27.9,2.0,3.6,13.2,37.5,,3.6,2.8,6.4,.163,,4.5,2.7,7.2,4.4
88,DeMarcus Cousins\couside01,C,26,NOP,3,88,35.5,.644,.286,.667,10.7,36.3,23.3,29.3,4.4,3.7,14.2,31.9,,0.4,0.2,0.6,.346,,7.8,6.0,13.8,0.3
89,Robert Covington\covinro01,SF,26,PHI,53,1666,12.8,.524,.581,.218,5.0,17.3,11.1,8.1,3.1,2.3,14.3,18.8,,-0.3,2.6,2.3,.067,,-0.7,2.3,1.6,1.5
90,Allen Crabbe\crabbal01,SG,24,POR,58,1650,10.5,.591,.437,.220,1.0,9.7,5.3,6.3,1.0,0.5,9.2,14.8,,1.9,0.4,2.2,.065,,-0.3,-1.8,-2.1,0.0
91,Jamal Crawford\crawfja01,SG,36,LAC,59,1573,11.3,.507,.365,.220,1.0,5.8,3.5,16.3,1.4,0.7,12.8,22.9,,-0.1,1.0,0.8,.025,,-1.4,-2.0,-3.4,-0.6
92,Jae Crowder\crowdja01,SF,26,BOS,50,1622,15.2,.617,.562,.271,2.2,16.1,9.2,10.0,1.6,0.9,7.8,16.6,,3.2,1.5,4.7,.140,,2.0,-0.1,1.8,1.6
93,Dante Cunningham\cunnida01,SF,29,NOP,45,1120,8.6,.542,.516,.057,3.3,14.1,8.6,3.8,1.0,1.5,7.7,10.7,,0.5,1.0,1.4,.062,,-2.2,0.5,-1.7,0.1
94,Seth Curry\curryse01,PG,26,DAL,55,1578,15.5,.594,.450,.125,1.6,9.3,5.3,16.6,2.2,0.3,11.2,19.3,,2.2,1.5,3.7,.112,,1.7,-0.1,1.6,1.4
